No,File,TP,GuessES,ConstraintES,StatementES,Guess,Constraint,Statement,Note
25,impl.hpp,0,0,1,196,3,14,1393,
4,field_5x52_impl.h,0,0,0,93,7,8,582,
3,field_5x52_impl.h,0,0,0,107,1,6,946,
20,ecmult_gen_impl.h,0,1,1,18,1,1,18,
21,ecmult_impl.h,0,1,1,25,1,1,25,
6,blockfilter_index_tests.cpp,0,1,1,83,5,11,1025,
18,validation.cpp,0,1,1,20,9,22,407,
19,chain.h,1,1,1,21,12,38,890,
17,util.h,0,2,2,36,2,2,36,
16,tinyformat.h,0,3,4,107,4,11,361,
2,field_5x52_impl.h,0,3,3,501,7,8,1043,
1,as_literal.hpp,1,3,3,436,7,22,2883,
27,crc32c.cc,0,3,2,208,15,29,926,
5,net_processing.cpp,0,5,9,286,31,45,1632,
28,scalar_4x64_impl.h,0,6,6,529,20,23,1712,
24,core_read.cpp,0,8,11,437,11,19,880,
