No,File,TP,GuessES,ConstraintES,StatementES,Guess,Constraint,Statement,Note
1,AlignedTable.h,0,2,5,80,5,21,215,
2,AlignedTable.h,1,1,1,34,1,5,167,
3,io.cpp,0,1,2,73,10,4,570,
4,index_read.cpp,0,9,3,409,11,5,492,
12,test_merge.cpp,0,1,3,15,4,7,274,
13,index_read.cpp,0,4,0,256,52,2,2961,
16,IVFlib.cpp,0,1,1,10,1,1,21,
17,Heap.h,0,6,13,282,6,13,282,
19,IndexIVF.cpp,0,4,4,37,8,10,185,
28,index_read.cpp,0,2,3,165,56,6,3213,
29,index_read.cpp,0,15,17,399,71,20,3559,
30,IndexPQ.cpp,0,5,12,153,5,12,153,
33,index_read.cpp,0,3,0,178,55,2,3110,
