No,File,TP,GuessES,ConstraintES,StatementES,Guess,Constraint,Statement,Note
906,ctype-ucs2.cc,1,0,2,31,0,2,31,
819,mem0mem.ic,1,0,1,59,3,7,142,
1290,ustrcase.cpp,1,0,2,119,2,11,259,
1273,ucasemap.cpp,1,0,3,116,11,24,866,
150,column_impl.cc,1,1,1,190,30,184,17446,
149,spatial_reference_system_impl.cc,1,1,1,190,1,6,760,
242,binlog_ostream.cc,0,1,6,76,1,8,93,
1184,subprocess.cc,1,1,8,116,1,13,159,
189,sql_table.cc,0,1,1,4,14,14,298,
831,xcom_transport.cc,1,1,1,6,3,11,463,
1172,task.cc,1,1,8,152,2,22,501,
146,uresbund.cpp,1,1,4,74,8,20,340,
221,item_geofunc_setops.cc,0,1,7,65,16,36,999,
207,opt_explain.cc,1,2,5,53,2,7,60,
90,crypt_genhash_impl.cc,1,2,12,103,2,13,125,
957,lob0update.cc,1,3,8,225,3,8,240,
1178,mysql_string_servic,0,3,13,257,3,18,277,
1228,ucnvbocu.cpp,1,3,12,276,3,12,276,
1181,vis.c,0,3,8,162,5,16,284,
106,stringtriebuilder.cpp,0,3,5,245,11,16,395,
93,uniset.cpp,0,3,10,156,26,39,1022,
1214,mysqltest.cc,1,3,3,110,16,25,620,
829,filesort.cc,0,3,7,59,27,62,1625,
153,map.c,0,4,7,135,4,7,140,
1175,descriptor.pb.cc,0,5,18,376,7,27,477,
144,map.c,0,5,11,136,5,11,141,
80,decNumber.cpp,0,5,18,350,5,18,350,
52,sql_string.cc,0,5,10,177,6,13,228,
1263,trx0rec.cc,0,5,9,255,48,9,255,
28,ut0rbt.cc,0,6,11,179,6,11,179,
176,item_func.cc,0,6,11,210,6,12,216,
1303,uniset.cpp,0,6,12,235,12,22,496,
100,uniset.cpp,0,6,14,190,9,37,435,
66,ucol_sit.cpp,0,8,10,210,9,12,219,
1203,decNumber.cpp,0,11,21,672,11,21,672,
1281,my_string.cc,0,11,16,339,85,282,6506,
14,lz4frame.c,0,12,30,393,12,30,393,
44,pfs_instr_class-t.cc,0,99,123,2560,99,123,2650,
