No,File,TP,GuessES,ConstraintES,StatementES,Guess,Constraint,Statement,Note
90,stringprintf.cc,0,0,2,193,0,3,206,
5,text_format.cc,1,0,1,140,0,1,142,
1,subprocess.cc,1,0,10,154,0,10,154,
2,subprocess.cc,1,0,11,154,0,11,154,
3,file.cc,1,0,1,5,1,6,47,
71,subprocess.cc,1,0,6,63,0,11,121,
61,repeated_ptr_field.cc,0,1,2,23,1,3,28,
7,mutex.cc,0,1,1,192,1,2,200,
60,numbers.cc,0,1,3,232,1,3,239,
56,numbers.cc,0,1,8,343,1,8,350,
54,low_level_alloc.cc,0,1,1,174,3,5,269,
72,gtest.h,0,1,2,90,40,48,3156,
58,repeated_ptr_field.cc,0,2,3,64,4,8,233,
55,substitute.cc,0,2,5,156,2,5,156,
59,elf_mem_image.cc,0,2,2,189,6,9,376,
6,message_differencer.cc,0,2,5,38,14,30,572,
4,cord_rep_btree.cc,0,3,9,235,3,11,269,
57,substitute.cc,0,3,13,296,3,13,296,
8,message_differencer.cc,0,3,5,35,15,30,569,
9,message_differencer.cc,0,4,5,90,15,32,574,
87,time_test.cc,0,15,37,1125,15,38,1127,
