No,File,TP,GuessES,ConstraintES,StatementES,Guess,Constraint,Statement,Note
11,strokewidth.cpp,0,0,1,16,0,2,20,
3,bitvector.cpp,1,0,10,286,0,16,395,
153,intproto.cpp,1,0,8,58,2,33,198,
1,mainblk.cpp,0,0,0,44,5,11,204,
8,altorenderer.cpp,0,0,1,55,13,37,1972,
166,recodebeam.cpp,0,0,1,46,3,6,149,
14,networkbuilder.cpp,0,1,1,31,2,3,55,
155,baseapi.cpp,0,1,1,23,3,5,44,
12,strokewidth.cpp,0,1,2,31,1,4,40,
90,unicharset.h,0,1,7,268,2,12,320,
167, pdfrenderer.cpp,0,1,2,52,22,65,2050,
72,recodebeam.cpp,1,1,1,11,15,27,824,
163,tesseractmain.cpp,0,1,4,41,6,15,198,
162,detlinefit.cpp,0,1,4,129,16,28,2223,
10,tesseractmain.cpp,0,2,4,39,2,5,48,
9,helpers.h,0,3,7,152,3,9,167,
55,elst2.cpp,0,5,12,105,5,12,105,
154,fixspace.cpp,0,5,7,134,17,29,824,
6,intmatcher.cpp,0,5,9,178,12,38,1026,
7,intmatcher.cpp,0,6,21,301,6,21,301,
52,clst.h,0,6,11,208,30,58,1611,
4,topitch.cpp,0,8,9,520,23,24,1433,
2,genericvector.h,0,10,44,857,11,48,873,
5,topitch.cpp,0,13,13,781,28,28,1694,
56,mfoutline.cpp,0,18,25,818,18,25,818,
