No,File,TP,GuessES,ConstraintES,StatementES,Guess,Constraint,Statement,Note
1,wslay_event.c,1,0,6,105,4,28,472,
2,wslay_event.c,1,0,4,95,16,9,176,
3,wslay_event.c,1,0,5,122,23,37,676,
4,SocketCore.cc,0,1,4,57,3,9,200,
5,SocketCore.cc,0,1,3,79,5,8,222,
6,wslay_event.c,0,1,2,42,12,21,360,
7,BitfieldMan.cc,0,2,3,77,2,5,182,
8,OptionParser.cc,0,2,8,252,3,10,290,
9,array_fun.h,0,4,5,244,5,9,385,
10,wslay_event.c,0,4,4,58,22,31,437,
11,wslay_event.c,0,6,11,257,23,37,642,
12,impl.hpp,0,0,1,196,3,14,1393,
13,field_5x52_impl.h,0,0,0,93,7,8,582,
14,field_5x52_impl.h,0,0,0,107,1,6,946,
15,ecmult_gen_impl.h,0,1,1,18,1,1,18,
16,ecmult_impl.h,0,1,1,25,1,1,25,
17,blockfilter_index_tests.cpp,0,1,1,83,5,11,1025,
18,validation.cpp,0,1,1,20,9,22,407,
19,chain.h,1,1,1,21,12,38,890,
20,util.h,0,2,2,36,2,2,36,
21,tinyformat.h,0,3,4,107,4,11,361,
22,field_5x52_impl.h,0,3,3,501,7,8,1043,
23,as_literal.hpp,1,3,3,436,7,22,2883,
24,crc32c.cc,0,3,2,208,15,29,926,
25,net_processing.cpp,0,5,9,286,31,45,1632,
26,scalar_4x64_impl.h,0,6,6,529,20,23,1712,
27,core_read.cpp,0,8,11,437,11,19,880,
28,FollyMemcpy.cpp,1,0,0,19,0,1,24,
29,SocketAddress.cpp,0,0,1,6,0,3,99,
30,xlog.cpp,0,1,0,4,1,1,41,
31,gtest.h,0,2,2,105,2,3,159,
32,Cursor.h,0,4,3,138,5,5,148,
33,Cursor.h,0,4,3,138,4,4,148,
34,gtest-matchers.h,0,4,9,497,4,9,497,
35,Format.cpp,0,4,6,243,14,25,759,
36,ctype-ucs2.cc,1,0,2,31,0,2,31,
37,mem0mem.ic,1,0,1,59,3,7,142,
38,ustrcase.cpp,1,0,2,119,2,11,259,
39,ucasemap.cpp,1,0,3,116,11,24,866,
40,column_impl.cc,1,1,1,190,30,184,17446,
41,spatial_reference_system_impl.cc,1,1,1,190,1,6,760,
42,binlog_ostream.cc,0,1,6,76,1,8,93,
43,subprocess.cc,1,1,8,116,1,13,159,
44,sql_table.cc,0,1,1,4,14,14,298,
45,xcom_transport.cc,1,1,1,6,3,11,463,
46,task.cc,1,1,8,152,2,22,501,
47,uresbund.cpp,1,1,4,74,8,20,340,
48,item_geofunc_setops.cc,0,1,7,65,16,36,999,
49,opt_explain.cc,1,2,5,53,2,7,60,
50,crypt_genhash_impl.cc,1,2,12,103,2,13,125,
51,lob0update.cc,1,3,8,225,3,8,240,
52,mysql_string_servic,0,3,13,257,3,18,277,
53,ucnvbocu.cpp,1,3,12,276,3,12,276,
54,vis.c,0,3,8,162,5,16,284,
55,stringtriebuilder.cpp,0,3,5,245,11,16,395,
56,uniset.cpp,0,3,10,156,26,39,1022,
57,mysqltest.cc,1,3,3,110,16,25,620,
58,filesort.cc,0,3,7,59,27,62,1625,
59,map.c,0,4,7,135,4,7,140,
60,descriptor.pb.cc,0,5,18,376,7,27,477,
61,map.c,0,5,11,136,5,11,141,
62,decNumber.cpp,0,5,18,350,5,18,350,
63,sql_string.cc,0,5,10,177,6,13,228,
64,trx0rec.cc,0,5,9,255,48,9,255,
65,ut0rbt.cc,0,6,11,179,6,11,179,
66,item_func.cc,0,6,11,210,6,12,216,
67,uniset.cpp,0,6,12,235,12,22,496,
68,uniset.cpp,0,6,14,190,9,37,435,
69,ucol_sit.cpp,0,8,10,210,9,12,219,
70,decNumber.cpp,0,11,21,672,11,21,672,
71,my_string.cc,0,11,16,339,85,282,6506,
72,lz4frame.c,0,12,30,393,12,30,393,
73,pfs_instr_class-t.cc,0,99,123,2560,99,123,2650,
74,stringprintf.cc,0,0,2,193,0,3,206,
75,text_format.cc,1,0,1,140,0,1,142,
76,subprocess.cc,1,0,10,154,0,10,154,
77,subprocess.cc,1,0,11,154,0,11,154,
78,file.cc,1,0,1,5,1,6,47,
79,subprocess.cc,1,0,6,63,0,11,121,
80,repeated_ptr_field.cc,0,1,2,23,1,3,28,
81,mutex.cc,0,1,1,192,1,2,200,
82,numbers.cc,0,1,3,232,1,3,239,
83,numbers.cc,0,1,8,343,1,8,350,
84,low_level_alloc.cc,0,1,1,174,3,5,269,
85,gtest.h,0,1,2,90,40,48,3156,
86,repeated_ptr_field.cc,0,2,3,64,4,8,233,
87,substitute.cc,0,2,5,156,2,5,156,
88,elf_mem_image.cc,0,2,2,189,6,9,376,
89,message_differencer.cc,0,2,5,38,14,30,572,
90,cord_rep_btree.cc,0,3,9,235,3,11,269,
91,substitute.cc,0,3,13,296,3,13,296,
92,message_differencer.cc,0,3,5,35,15,30,569,
93,message_differencer.cc,0,4,5,90,15,32,574,
94,time_test.cc,0,15,37,1125,15,38,1127,
95,strokewidth.cpp,0,0,1,16,0,2,20,
96,bitvector.cpp,1,0,10,286,0,16,395,
97,intproto.cpp,1,0,8,58,2,33,198,
98,mainblk.cpp,0,0,0,44,5,11,204,
99,altorenderer.cpp,0,0,1,55,13,37,1972,
100,recodebeam.cpp,0,0,1,46,3,6,149,
