No,File,TP,GuessES,ConstraintES,StatementES,Guess,Constraint,Statement,Note
5,xbmc-xrandr.c,1,0,2,89,5,25,597,
12,XBDateTime.cpp,0,0,2,167,4,21,587,
14,XBDateTime.cpp,1,0,3,411,0,3,411,
111,DirectoryNode.cpp,0,0,3,184,0,5,304,
113,mysqldataset.cpp,1,0,5,87,2,9,235,
129,GUIDialogMediaFilter.cpp,1,0,0,30,3,7,78,
6,DVDDemuxCC.cpp,1,1,1,47,4,11,135,
15,xbmc-xrandr.c,1,1,18,313,4,18,313,
18,DVDInputStreamNavigator.cpp,1,1,1,45,6,8,197,
64,itoa.h,0,1,6,447,2,7,487,
73,BitstreamConverter.cpp,0,1,1,97,2,14,279,
131,GUIDialogMediaFilter.cpp,1,1,1,20,8,22,641,
137,core.h,0,1,3,178,1,4,183,
7,Buffer.h,1,0,6,472,2,6,472,
24,GUIDialogKeyboardGeneric.cpp,0,2,5,50,6,15,179,
66,ActiveAE.cpp,0,2,1,164,2,2,166,
95,NptArray.h,0,2,7,105,42,71,1575,
134,gtest.h,0,2,8,249,2,9,255,
8,NptUtils.cpp,1,3,6,153,5,8,168,
128,VideoSyncOML.cpp,0,3,2,120,3,3,121,
138,ActiveAE.cpp,1,3,23,340,3,24,357,
132,DVDInputStreamNavigator.cpp,1,6,7,148,7,23,210,
11,DVDAudioCodecFFmpeg.cpp,0,8,20,395,8,21,401,
117,PltAction.cpp,0,9,29,858,14,66,1848,
86,FileItem.cpp,0,12,34,812,12,34,812,
9,GUIFontTTF.cpp,0,15,35,625,15,35,625,
